Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
32,No,Travel_Frequently,656,Research & Development,17,2,Other,1,28,3,Female,79,3,3,Manufacturing Director,3,Single,9253,2443,2,Y,Yes,14,3,3,80,1,35,0,3,37,11,6,14
38,No,Travel_Rarely,406,Research & Development,8,1,Human Resources,1,29,4,Female,85,3,1,Healthcare Representative,2,Single,15752,3499,0,Y,No,17,4,3,80,3,5,1,4,24,12,13,2
36,No,Travel_Rarely,894,Sales,2,3,Other,1,30,2,Male,48,3,3,Manager,4,Divorced,14342,9558,8,Y,Yes,15,3,2,80,3,5,3,2,4,0,10,4
46,Yes,Travel_Rarely,1233,Research & Development,6,2,Life Sciences,1,31,1,Female,49,2,3,Manager,4,Married,14350,15602,9,Y,Yes,20,4,4,80,1,3,3,4,29,3,9,10
42,No,Travel_Rarely,197,Sales,22,4,Technical Degree,1,32,1,Male,51,3,3,Sales Representative,3,Single,19700,13913,5,Y,No,25,3,1,80,3,21,1,4,11,7,13,4
50,No,Non-Travel,1191,Sales,5,3,Other,1,33,4,Female,60,4,2,Sales Executive,3,Single,2237,3639,5,Y,No,23,4,3,80,1,39,1,4,3,18,6,6
49,No,Non-Travel,622,Human Resources,16,5,Medical,1,34,2,Male,91,1,2,Manager,3,Single,6599,22798,8,Y,No,16,3,3,80,2,26,2,3,23,4,3,5
52,No,Travel_Rarely,331,Human Resources,8,3,Medical,1,35,2,Female,73,4,4,Manager,1,Married,6594,20224,0,Y,No,24,3,1,80,2,36,4,2,28,10,12,12
55,No,Travel_Frequently,834,Research & Development,19,5,Medical,1,36,2,Female,97,3,5,Manager,3,Married,10236,9990,5,Y,No,20,3,2,80,3,1,2,1,8,16,7,1
43,No,Travel_Rarely,459,Research & Development,16,2,Medical,1,37,4,Male,96,2,1,Healthcare Representative,1,Divorced,7055,19832,4,Y,Yes,14,3,1,80,0,8,4,3,3,16,3,10
28,Yes,Travel_Rarely,503,Sales,13,1,Other,1,38,1,Male,78,3,5,Manager,2,Married,13246,13918,5,Y,No,12,3,2,80,2,10,3,1,23,1,6,4
52,No,Travel_Rarely,891,Research & Development,26,3,Marketing,1,39,1,Male,88,3,5,Laboratory Technician,4,Married,16658,9424,7,Y,No,19,3,3,80,3,19,4,1,13,0,3,8
25,No,Travel_Rarely,200,Research & Development,20,1,Technical Degree,1,40,2,Male,33,2,2,Laboratory Technician,3,Single,5954,6382,4,Y,No,25,3,4,80,0,38,2,3,4,3,15,5
31,No,Travel_Rarely,372,Sales,7,1,Medical,1,41,4,Male,68,2,4,Sales Executive,4,Married,8936,23244,1,Y,No,12,3,2,80,3,13,1,3,17,8,12,16
27,Yes,Travel_Rarely,463,Research & Development,16,3,Other,1,42,4,Female,36,2,5,Manager,4,Single,13650,24435,1,Y,Yes,12,3,2,80,1,25,4,2,18,1,11,7
19,Yes,Non-Travel,1289,Sales,23,3,Human Resources,1,43,4,Male,100,2,5,Sales Representative,3,Divorced,17007,14330,9,Y,No,23,3,1,80,3,37,2,2,11,2,4,6
26,No,Travel_Rarely,629,Research & Development,16,1,Human Resources,1,44,2,Male,78,2,3,Research Director,3,Single,14395,8929,4,Y,No,22,3,3,80,1,29,3,4,17,5,6,4
20,No,Travel_Rarely,1294,Sales,29,4,Other,1,45,4,Female,44,2,1,Sales Executive,2,Divorced,8025,4679,2,Y,No,12,3,4,80,2,35,5,1,16,12,12,14
38,Yes,Travel_Rarely,1146,Research & Development,12,4,Medical,1,46,2,Male,36,1,4,Manager,1,Married,15036,23185,9,Y,Yes,11,4,1,80,2,37,4,2,29,14,13,9
43,No,Travel_Frequently,641,Research & Development,14,3,Life Sciences,1,47,2,Male,76,3,1,Laboratory Technician,1,Divorced,16929,2994,2,Y,Yes,23,3,1,80,3,34,3,4,23,10,13,15
25,No,Travel_Rarely,696,Research & Development,24,1,Other,1,48,2,Female,97,3,2,Manager,4,Single,14761,16028,7,Y,Yes,22,3,4,80,0,5,3,2,10,9,12,8
19,No,Travel_Frequently,934,Research & Development,18,1,Technical Degree,1,49,3,Female,74,2,5,Manufacturing Director,3,Married,19277,21819,6,Y,No,22,3,3,80,3,2,0,3,34,2,9,6
23,Yes,Travel_Rarely,498,Sales,27,2,Technical Degree,1,50,2,Male,48,4,5,Manager,2,Married,19202,26172,0,Y,Yes,13,4,4,80,3,0,5,2,22,8,2,10
45,No,Travel_Rarely,1161,Human Resources,28,1,Life Sciences,1,51,4,Male,76,2,1,Human Resources,2,Single,4176,18605,4,Y,Yes,16,3,1,80,2,17,4,1,16,9,9,8
46,No,Travel_Rarely,596,Research & Development,18,4,Human Resources,1,52,3,Male,82,1,2,Manager,2,Married,12998,20153,8,Y,No,17,3,1,80,2,22,2,2,0,11,4,16
43,No,Travel_Rarely,415,Human Resources,16,2,Human Resources,1,53,1,Male,56,4,3,Human Resources,2,Single,15096,20255,3,Y,Yes,11,3,2,80,3,31,4,1,14,7,10,8
42,No,Travel_Rarely,591,Research & Development,20,4,Other,1,54,1,Male,34,1,3,Research Director,2,Divorced,3446,7259,0,Y,No,24,3,4,80,2,28,4,3,31,16,13,2
29,No,Travel_Rarely,1401,Research & Development,16,5,Life Sciences,1,55,4,Female,89,4,5,Manager,1,Divorced,16284,26903,7,Y,No,15,3,4,80,1,22,5,1,8,4,2,7
22,No,Travel_Rarely,334,Human Resources,13,3,Other,1,56,4,Female,91,4,5,Human Resources,1,Married,6285,12781,4,Y,No,15,3,4,80,3,35,6,2,14,7,4,15
51,No,Travel_Rarely,1131,Sales,26,5,Other,1,57,4,Male,88,2,4,Manager,1,Single,9868,19061,1,Y,No,11,3,1,80,2,5,3,4,27,17,13,6
54,No,Travel_Rarely,765,Sales,29,3,Life Sciences,1,58,4,Male,90,1,1,Manager,3,Single,8827,3560,0,Y,No,14,4,3,80,3,16,3,3,23,10,2,6
32,No,Travel_Frequently,345,Sales,9,4,Human Resources,1,59,3,Male,85,4,5,Sales Representative,4,Divorced,5737,10788,2,Y,No,20,3,1,80,2,17,3,2,34,9,10,12
53,Yes,Travel_Frequently,342,Research & Development,26,4,Marketing,1,60,4,Male,76,1,2,Healthcare Representative,2,Single,6747,8844,8,Y,Yes,11,3,2,80,1,30,3,3,21,14,9,2
32,Yes,Travel_Frequently,659,Research & Development,28,5,Medical,1,61,2,Female,77,2,1,Healthcare Representative,3,Married,6802,3249,0,Y,Yes,23,3,1,80,1,5,5,3,26,5,10,11
60,No,Travel_Rarely,1398,Sales,9,3,Medical,1,62,1,Female,39,2,4,Sales Representative,2,Married,5532,10054,3,Y,Yes,24,3,1,80,3,33,2,2,18,18,6,7
40,No,Travel_Rarely,176,Research & Development,13,3,Medical,1,63,4,Male,61,2,3,Laboratory Technician,1,Divorced,6580,19413,7,Y,No,25,3,1,80,1,26,1,2,11,16,12,12
23,No,Travel_Frequently,384,Research & Development,29,2,Life Sciences,1,64,2,Male,94,2,4,Research Scientist,3,Single,17218,12877,7,Y,No,11,3,2,80,1,35,0,4,19,9,0,15
60,Yes,Travel_Rarely,188,Sales,4,1,Other,1,65,4,Female,53,3,1,Sales Executive,1,Married,16255,18833,9,Y,No,22,3,4,80,2,24,6,3,0,4,8,6
38,No,Travel_Frequently,982,Research & Development,9,2,Other,1,66,2,Male,58,4,3,Manufacturing Director,2,Married,11389,20472,7,Y,No,25,3,3,80,3,9,6,3,20,15,8,3
40,No,Travel_Frequently,1031,Sales,15,4,Technical Degree,1,67,3,Male,36,3,2,Sales Representative,2,Married,3233,7250,9,Y,Yes,17,4,3,80,2,38,3,2,0,11,4,11
60,No,Travel_Rarely,1274,Research & Development,14,5,Other,1,68,1,Male,46,2,3,Healthcare Representative,4,Single,9398,24759,7,Y,No,17,3,2,80,2,38,3,1,9,4,8,16
33,Yes,Travel_Rarely,1275,Sales,19,3,Human Resources,1,69,1,Male,54,4,3,Sales Representative,2,Divorced,16936,11731,3,Y,No,13,3,4,80,0,11,0,2,31,0,9,0
32,Yes,Non-Travel,261,Human Resources,12,2,Marketing,1,70,3,Male,65,4,2,Manager,1,Divorced,12693,12945,7,Y,Yes,17,3,4,80,1,10,3,3,38,1,12,16
42,No,Travel_Frequently,547,Research & Development,21,5,Medical,1,71,2,Female,90,1,5,Healthcare Representative,2,Married,11649,25887,8,Y,No,13,3,2,80,2,2,1,2,21,4,14,1
53,No,Travel_Frequently,183,Sales,26,5,Human Resources,1,72,4,Male,100,2,5,Sales Representative,4,Divorced,9671,7458,6,Y,Yes,12,3,1,80,2,21,6,4,17,18,5,5
28,No,Travel_Rarely,1132,Sales,25,1,Human Resources,1,73,2,Male,64,3,3,Manager,4,Married,7370,13566,1,Y,No,20,3,4,80,2,3,4,1,31,14,14,11
32,No,Travel_Rarely,283,Research & Development,6,3,Marketing,1,74,1,Female,79,1,3,Laboratory Technician,1,Married,2957,6068,8,Y,No,25,3,3,80,1,7,0,2,26,0,4,10
21,No,Travel_Rarely,971,Research & Development,3,5,Medical,1,75,3,Male,85,4,4,Research Director,3,Single,13100,20982,7,Y,Yes,14,3,2,80,1,13,6,4,27,10,12,10
38,No,Travel_Rarely,1067,Research & Development,26,3,Life Sciences,1,76,3,Male,94,3,5,Research Director,2,Married,13001,20624,4,Y,No,24,3,3,80,1,19,2,3,17,17,2,17
30,No,Travel_Rarely,579,Research & Development,25,2,Marketing,1,77,2,Male,70,2,2,Healthcare Representative,4,Married,7327,26147,2,Y,No,20,3,1,80,3,23,6,2,38,2,10,7
39,No,Travel_Frequently,284,Sales,22,5,Human Resources,1,78,2,Male,54,3,3,Manager,2,Single,13189,9398,6,Y,No,13,3,2,80,2,13,0,3,28,8,10,6
36,Yes,Travel_Rarely,1439,Research & Development,20,5,Other,1,79,3,Female,63,3,3,Healthcare Representative,2,Single,1243,3304,1,Y,No,22,3,3,80,1,27,1,4,17,3,7,13
51,No,Travel_Rarely,275,Sales,16,2,Medical,1,80,1,Male,37,3,4,Manager,3,Divorced,16381,24657,2,Y,Yes,17,3,3,80,2,15,5,3,7,12,15,15
31,Yes,Travel_Rarely,115,Research & Development,20,3,Technical Degree,1,81,4,Female,85,1,4,Research Scientist,4,Single,1531,10915,8,Y,No,22,3,1,80,3,31,2,4,30,8,3,11
21,No,Travel_Rarely,1425,Research & Development,24,3,Marketing,1,82,4,Female,59,4,4,Laboratory Technician,2,Married,13727,13003,3,Y,No,22,3,2,80,0,11,4,4,33,2,15,8
44,No,Non-Travel,174,Research & Development,23,5,Human Resources,1,83,2,Male,97,3,1,Manufacturing Director,4,Single,10830,23360,3,Y,No,11,3,4,80,3,15,3,4,6,15,9,15
46,No,Travel_Frequently,615,Sales,17,2,Life Sciences,1,84,3,Male,50,4,2,Manager,1,Single,6841,8918,2,Y,Yes,16,3,4,80,1,18,0,2,35,7,12,15
45,No,Travel_Rarely,703,Research & Development,16,4,Human Resources,1,85,3,Male,39,1,1,Research Scientist,1,Divorced,13829,8292,4,Y,No,25,3,3,80,1,4,2,3,17,6,14,8
52,No,Travel_Rarely,444,Research & Development,6,3,Technical Degree,1,86,3,Male,62,2,3,Healthcare Representative,2,Single,17220,3201,2,Y,No,24,3,1,80,3,11,0,3,37,16,12,12
25,No,Travel_Rarely,434,Research & Development,8,4,Life Sciences,1,87,1,Male,33,2,4,Research Director,4,Married,8131,13363,8,Y,Yes,12,3,3,80,2,28,4,1,8,15,2,4
33,Yes,Travel_Rarely,456,Research & Development,19,5,Medical,1,88,2,Male,52,3,4,Research Director,2,Married,6851,7080,2,Y,No,18,4,1,80,1,4,0,1,8,17,12,9
59,No,Travel_Rarely,948,Research & Development,25,4,Marketing,1,89,2,Female,98,1,4,Laboratory Technician,4,Married,2325,5528,1,Y,Yes,24,3,4,80,1,16,6,1,7,15,5,6
53,No,Travel_Rarely,264,Research & Development,26,4,Life Sciences,1,90,2,Male,82,2,5,Manager,4,Single,14209,10117,4,Y,No,15,3,3,80,3,7,6,1,34,14,7,8
47,Yes,Travel_Frequently,217,Sales,2,3,Technical Degree,1,91,1,Male,34,1,2,Sales Representative,3,Single,18517,13340,5,Y,Yes,13,3,3,80,2,39,2,3,17,1,12,13
35,No,Travel_Rarely,1204,Research & Development,14,5,Human Resources,1,92,2,Male,47,1,1,Research Scientist,3,Married,16215,21293,0,Y,No,20,3,1,80,3,39,1,4,4,3,14,14
19,No,Travel_Rarely,1133,Research & Development,22,4,Technical Degree,1,93,4,Male,46,3,2,Research Director,3,Single,19980,9155,5,Y,No,17,3,2,80,3,29,5,4,13,4,8,12
30,No,Travel_Rarely,1148,Research & Development,12,3,Other,1,94,2,Female,87,3,4,Manufacturing Director,2,Divorced,2387,20513,9,Y,No,24,3,1,80,2,9,2,2,27,6,13,9
21,No,Non-Travel,892,Research & Development,17,4,Life Sciences,1,95,2,Female,96,1,3,Research Director,3,Divorced,2528,8901,2,Y,No,21,4,2,80,2,19,0,4,29,14,5,13
43,No,Non-Travel,644,Research & Development,28,3,Marketing,1,96,2,Male,85,1,5,Manager,3,Divorced,8944,9067,3,Y,No,25,4,4,80,0,15,4,3,3,16,4,11
42,Yes,Travel_Frequently,515,Research & Development,27,5,Marketing,1,97,1,Female,69,3,2,Laboratory Technician,1,Divorced,7102,2263,5,Y,No,25,4,3,80,3,40,6,3,38,9,11,5
47,No,Travel_Rarely,783,Research & Development,15,2,Human Resources,1,98,4,Female,31,1,3,Healthcare Representative,4,Married,6364,15043,7,Y,Yes,12,3,3,80,2,15,3,3,19,8,10,11
28,No,Travel_Rarely,743,Sales,18,3,Human Resources,1,99,4,Female,50,3,4,Manager,4,Single,10092,16639,8,Y,Yes,15,4,1,80,1,2,3,2,24,15,1,12
24,Yes,Travel_Frequently,770,Sales,16,3,Human Resources,1,100,3,Female,81,4,4,Sales Executive,3,Divorced,6583,15293,5,Y,No,21,3,1,80,0,22,4,1,27,2,1,7
48,No,Travel_Frequently,123,Sales,13,4,Other,1,101,3,Female,53,1,4,Sales Representative,4,Married,14333,16570,6,Y,Yes,18,3,4,80,3,21,0,4,11,8,8,15
27,Yes,Travel_Rarely,1070,Research & Development,21,5,Technical Degree,1,102,4,Male,82,3,4,Research Director,1,Divorced,3266,10917,4,Y,No,23,3,4,80,2,27,5,3,1,7,1,1
56,Yes,Travel_Rarely,1282,Research & Development,17,1,Human Resources,1,103,2,Male,67,1,5,Manufacturing Director,1,Single,14420,11090,8,Y,No,21,3,2,80,0,35,4,3,13,6,1,6
30,Yes,Travel_Rarely,431,Research & Development,8,1,Life Sciences,1,104,2,Male,49,3,5,Manager,3,Divorced,16242,23493,3,Y,Yes,11,3,4,80,0,3,0,1,21,16,2,11
48,No,Travel_Frequently,1147,Research & Development,1,2,Human Resources,1,105,2,Male,79,1,2,Manufacturing Director,1,Divorced,16896,17066,9,Y,No,25,3,4,80,1,37,2,3,30,4,15,6
24,Yes,Travel_Rarely,1389,Sales,29,5,Technical Degree,1,106,1,Female,68,2,4,Manager,4,Divorced,3014,25375,5,Y,No,11,3,4,80,0,23,5,4,22,6,2,13
59,No,Travel_Rarely,1428,Research & Development,25,3,Life Sciences,1,107,2,Male,89,2,5,Research Scientist,2,Divorced,19409,16129,4,Y,No,13,4,4,80,3,18,1,2,19,12,3,8
59,No,Non-Travel,1003,Research & Development,26,1,Life Sciences,1,108,1,Female,68,1,3,Manufacturing Director,4,Single,11869,5128,0,Y,No,13,3,2,80,2,10,0,3,37,17,6,17
53,Yes,Travel_Rarely,825,Sales,27,2,Life Sciences,1,109,4,Male,100,2,5,Manager,2,Married,11079,15422,4,Y,No,23,3,4,80,0,39,3,4,3,13,8,10
37,Yes,Travel_Rarely,1289,Sales,3,5,Technical Degree,1,110,2,Female,62,1,5,Sales Executive,3,Divorced,10397,13373,4,Y,Yes,17,3,2,80,0,39,3,3,14,17,1,15
21,No,Travel_Rarely,1261,Sales,16,2,Human Resources,1,111,2,Female,58,1,2,Sales Executive,2,Married,19165,22958,8,Y,No,16,4,1,80,3,38,6,1,23,2,3,10
24,Yes,Travel_Rarely,353,Sales,28,1,Technical Degree,1,112,3,Female,39,4,5,Manager,1,Single,19144,21890,0,Y,No,17,3,3,80,1,17,5,3,24,16,8,17
18,Yes,Travel_Rarely,306,Human Resources,2,4,Technical Degree,1,113,4,Female,96,4,3,Manager,4,Single,15618,7082,4,Y,No,14,3,1,80,1,11,1,3,0,18,13,10
59,No,Travel_Rarely,1427,Research & Development,15,4,Medical,1,114,2,Male,32,2,4,Laboratory Technician,2,Divorced,17372,9224,6,Y,Yes,21,4,4,80,2,13,0,2,6,6,1,3
30,No,Travel_Rarely,1367,Research & Development,1,5,Technical Degree,1,115,1,Male,60,4,1,Research Scientist,4,Married,17932,17198,5,Y,Yes,12,3,3,80,3,17,1,1,30,3,9,17
39,Yes,Travel_Rarely,933,Research & Development,9,2,Other,1,116,4,Female,56,4,2,Laboratory Technician,3,Divorced,15832,5963,5,Y,No,12,3,4,80,1,11,6,1,11,14,10,12
38,No,Travel_Rarely,892,Research & Development,16,3,Medical,1,117,3,Male,99,1,3,Research Scientist,3,Single,18854,24577,6,Y,No,20,3,4,80,2,39,2,2,4,7,12,3
39,Yes,Non-Travel,1186,Sales,4,1,Life Sciences,1,118,4,Male,56,3,2,Sales Executive,1,Divorced,9556,2885,5,Y,No,11,3,1,80,2,26,1,3,37,15,0,9
45,No,Travel_Frequently,566,Research & Development,12,4,Human Resources,1,119,1,Male,38,1,4,Research Director,3,Divorced,12524,14427,4,Y,No,24,3,4,80,1,5,2,4,11,0,9,4
26,Yes,Travel_Rarely,1427,Research & Development,1,4,Marketing,1,120,3,Male,35,4,5,Manufacturing Director,2,Married,1243,12837,9,Y,No,23,3,1,80,3,23,3,1,38,15,7,2
43,Yes,Non-Travel,495,Research & Development,1,2,Human Resources,1,121,1,Female,35,1,5,Research Director,3,Single,15571,5935,4,Y,No,24,4,4,80,0,32,2,1,17,1,8,15
26,Yes,Travel_Rarely,1122,Research & Development,7,4,Medical,1,122,4,Female,55,2,3,Manager,1,Divorced,18941,5450,8,Y,Yes,19,4,2,80,1,15,0,3,1,1,6,7
32,No,Travel_Frequently,761,Research & Development,18,2,Medical,1,123,3,Female,72,3,4,Laboratory Technician,4,Divorced,8489,9616,7,Y,Yes,24,3,3,80,0,11,5,3,9,7,7,6
27,No,Travel_Rarely,1013,Sales,23,1,Life Sciences,1,124,1,Male,48,4,1,Sales Representative,4,Divorced,5222,7019,9,Y,Yes,24,3,1,80,0,30,5,1,14,11,3,13
41,Yes,Travel_Frequently,1384,Sales,28,2,Technical Degree,1,125,4,Male,45,4,1,Sales Representative,3,Married,11302,12858,3,Y,No,17,4,1,80,3,36,0,3,29,10,15,14
59,Yes,Travel_Rarely,631,Research & Development,23,4,Technical Degree,1,126,1,Female,52,1,5,Manager,2,Single,2682,23552,3,Y,No,20,3,3,80,3,12,0,4,16,5,3,16
25,No,Travel_Rarely,1312,Research & Development,15,2,Medical,1,127,2,Female,58,1,4,Research Director,1,Divorced,3109,14190,9,Y,No,13,3,1,80,2,7,0,1,3,18,12,0
41,No,Travel_Frequently,1337,Research & Development,26,4,Technical Degree,1,128,4,Female,67,1,4,Research Director,2,Divorced,12858,8794,4,Y,No,12,3,3,80,3,37,4,4,6,17,1,5
33,Yes,Travel_Rarely,1160,Sales,25,5,Medical,1,129,3,Female,88,1,3,Sales Representative,1,Divorced,19208,4188,2,Y,No,24,3,2,80,2,2,6,4,40,4,7,14
43,No,Travel_Rarely,1272,Research & Development,13,4,Human Resources,1,130,3,Male,77,4,1,Research Director,3,Single,4850,14909,7,Y,No,13,3,4,80,1,19,2,3,30,14,14,11
44,Yes,Travel_Rarely,1407,Research & Development,16,4,Marketing,1,131,2,Male,49,1,3,Healthcare Representative,1,Married,11206,18347,6,Y,No,17,3,2,80,0,3,0,4,38,7,10,1
54,Yes,Travel_Rarely,1374,Sales,7,4,Human Resources,1,132,1,Female,50,4,2,Manager,1,Married,9025,8344,4,Y,Yes,15,3,4,80,3,1,5,3,33,5,1,4
21,Yes,Travel_Rarely,158,Sales,16,5,Marketing,1,133,1,Female,57,1,4,Manager,3,Divorced,8020,17456,9,Y,Yes,22,4,3,80,1,35,1,2,5,11,8,8
41,Yes,Travel_Rarely,1430,Research & Development,13,3,Life Sciences,1,134,3,Female,79,3,1,Research Director,2,Divorced,5502,10901,2,Y,No,13,3,2,80,2,22,1,3,37,18,13,13
36,No,Travel_Rarely,623,Human Resources,14,4,Other,1,135,1,Male,62,3,3,Human Resources,3,Married,18067,15347,4,Y,No,19,3,4,80,3,18,4,4,33,11,3,17
53,No,Travel_Rarely,462,Research & Development,17,3,Other,1,136,4,Female,69,1,5,Manager,1,Married,9587,23730,2,Y,No,12,4,3,80,0,39,2,2,14,11,0,7
56,No,Non-Travel,1362,Research & Development,12,1,Human Resources,1,137,4,Male,83,1,2,Manager,3,Married,3167,14279,9,Y,No,17,3,4,80,1,7,2,3,13,8,12,1
27,No,Travel_Rarely,335,Research & Development,29,2,Technical Degree,1,138,3,Male,39,2,3,Research Director,1,Divorced,3073,9097,4,Y,No,25,3,1,80,3,15,6,4,5,9,3,8
42,No,Travel_Rarely,324,Research & Development,24,3,Other,1,139,4,Male,63,3,5,Research Director,3,Divorced,4262,18236,0,Y,Yes,20,3,1,80,3,17,2,1,36,16,2,6
35,No,Travel_Rarely,428,Human Resources,24,1,Marketing,1,140,3,Female,65,4,1,Manager,4,Married,13837,22774,5,Y,Yes,16,3,3,80,1,35,5,1,31,17,11,17
36,No,Travel_Frequently,1223,Human Resources,20,2,Life Sciences,1,141,1,Male,36,3,1,Manager,4,Married,2410,4395,9,Y,Yes,16,3,4,80,2,23,5,3,2,15,5,15
